"No.","Time","Source","source port","Destination","dest_port","Protocol","Length","HID Data","Info"
"13","14.613732","1.2.2","0x00000002","host","0xffffffff","USB","35","0200000000000000","URB_INTERRUPT in"
"15","14.834054","1.2.2","0x00000002","host","0xffffffff","USB","35","02000c0000000000","URB_INTERRUPT in"
"17","14.918747","1.2.2","0x00000002","host","0xffffffff","USB","35","0200000000000000","URB_INTERRUPT in"
"19","14.935706","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"21","15.029683","1.2.2","0x00000002","host","0xffffffff","USB","35","00002c0000000000","URB_INTERRUPT in"
"23","15.125786","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"25","15.328052","1.2.2","0x00000002","host","0xffffffff","USB","35","0000040000000000","URB_INTERRUPT in"
"27","15.445731","1.2.2","0x00000002","host","0xffffffff","USB","35","0000041000000000","URB_INTERRUPT in"
"29","15.462702","1.2.2","0x00000002","host","0xffffffff","USB","35","0000100000000000","URB_INTERRUPT in"
"31","15.530703","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"33","15.585734","1.2.2","0x00000002","host","0xffffffff","USB","35","00002c0000000000","URB_INTERRUPT in"
"35","15.675732","1.2.2","0x00000002","host","0xffffffff","USB","35","0000160000000000","URB_INTERRUPT in"
"37","15.790702","1.2.2","0x00000002","host","0xffffffff","USB","35","0000160800000000","URB_INTERRUPT in"
"39","15.894043","1.2.2","0x00000002","host","0xffffffff","USB","35","0000080000000000","URB_INTERRUPT in"
"41","15.918044","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"43","15.971042","1.2.2","0x00000002","host","0xffffffff","USB","35","0000110000000000","URB_INTERRUPT in"
"45","16.071981","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"47","16.107033","1.2.2","0x00000002","host","0xffffffff","USB","35","0000070000000000","URB_INTERRUPT in"
"49","16.197729","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"51","16.245728","1.2.2","0x00000002","host","0xffffffff","USB","35","00000c0000000000","URB_INTERRUPT in"
"53","16.365727","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"55","16.530031","1.2.2","0x00000002","host","0xffffffff","USB","35","0000110000000000","URB_INTERRUPT in"
"57","16.629731","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"59","16.751727","1.2.2","0x00000002","host","0xffffffff","USB","35","0000090a00000000","URB_INTERRUPT in"
"61","16.795734","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"63","17.265960","1.2.2","0x00000002","host","0xffffffff","USB","35","00002a0000000000","URB_INTERRUPT in"
"65","17.374682","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"67","18.037696","1.2.2","0x00000002","host","0xffffffff","USB","35","00002a0000000000","URB_INTERRUPT in"
"69","18.153698","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"71","18.190722","1.2.2","0x00000002","host","0xffffffff","USB","35","00000a0000000000","URB_INTERRUPT in"
"73","18.261702","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"75","18.426029","1.2.2","0x00000002","host","0xffffffff","USB","35","00002c0000000000","URB_INTERRUPT in"
"77","18.578722","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"79","18.698085","1.2.2","0x00000002","host","0xffffffff","USB","35","0000160000000000","URB_INTERRUPT in"
"81","18.809721","1.2.2","0x00000002","host","0xffffffff","USB","35","0000160800000000","URB_INTERRUPT in"
"83","18.909673","1.2.2","0x00000002","host","0xffffffff","USB","35","0000080000000000","URB_INTERRUPT in"
"85","18.926673","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"87","19.093699","1.2.2","0x00000002","host","0xffffffff","USB","35","0000060000000000","URB_INTERRUPT in"
"89","19.202722","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"91","19.350773","1.2.2","0x00000002","host","0xffffffff","USB","35","0000150000000000","URB_INTERRUPT in"
"93","19.477671","1.2.2","0x00000002","host","0xffffffff","USB","35","0000150800000000","URB_INTERRUPT in"
"95","19.526674","1.2.2","0x00000002","host","0xffffffff","USB","35","0000080000000000","URB_INTERRUPT in"
"97","19.614938","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"99","19.669781","1.2.2","0x00000002","host","0xffffffff","USB","35","0000170000000000","URB_INTERRUPT in"
"101","19.774716","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"103","19.839721","1.2.2","0x00000002","host","0xffffffff","USB","35","0000040000000000","URB_INTERRUPT in"
"105","19.983719","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"107","19.994717","1.2.2","0x00000002","host","0xffffffff","USB","35","0000150000000000","URB_INTERRUPT in"
"109","20.101716","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"111","20.287026","1.2.2","0x00000002","host","0xffffffff","USB","35","00001c0000000000","URB_INTERRUPT in"
"113","20.360004","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"115","20.573721","1.2.2","0x00000002","host","0xffffffff","USB","35","0000340000000000","URB_INTERRUPT in"
"117","20.691717","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"119","20.735006","1.2.2","0x00000002","host","0xffffffff","USB","35","0000160000000000","URB_INTERRUPT in"
"121","20.814039","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"123","21.217717","1.2.2","0x00000002","host","0xffffffff","USB","35","00002c0000000000","URB_INTERRUPT in"
"125","21.345031","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"127","22.613031","1.2.2","0x00000002","host","0xffffffff","USB","35","00000f0000000000","URB_INTERRUPT in"
"129","22.721023","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"131","22.837713","1.2.2","0x00000002","host","0xffffffff","USB","35","0000120000000000","URB_INTERRUPT in"
"133","22.920713","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"135","22.938716","1.2.2","0x00000002","host","0xffffffff","USB","35","0000060000000000","URB_INTERRUPT in"
"137","23.020700","1.2.2","0x00000002","host","0xffffffff","USB","35","0000060400000000","URB_INTERRUPT in"
"139","23.044712","1.2.2","0x00000002","host","0xffffffff","USB","35","0000040000000000","URB_INTERRUPT in"
"141","23.145015","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"143","23.245677","1.2.2","0x00000002","host","0xffffffff","USB","35","0000170000000000","URB_INTERRUPT in"
"145","23.328668","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"147","23.392733","1.2.2","0x00000002","host","0xffffffff","USB","35","00000c0000000000","URB_INTERRUPT in"
"149","23.482684","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"151","23.594044","1.2.2","0x00000002","host","0xffffffff","USB","35","0000120000000000","URB_INTERRUPT in"
"153","23.673669","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"155","23.840665","1.2.2","0x00000002","host","0xffffffff","USB","35","0000110000000000","URB_INTERRUPT in"
"157","23.942755","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"159","24.100684","1.2.2","0x00000002","host","0xffffffff","USB","35","00002c0000000000","URB_INTERRUPT in"
"161","24.230681","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"163","24.812661","1.2.2","0x00000002","host","0xffffffff","USB","35","0000120000000000","URB_INTERRUPT in"
"165","24.905659","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"167","24.961022","1.2.2","0x00000002","host","0xffffffff","USB","35","0000190000000000","URB_INTERRUPT in"
"169","25.068667","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"171","25.180680","1.2.2","0x00000002","host","0xffffffff","USB","35","0000080000000000","URB_INTERRUPT in"
"173","25.300709","1.2.2","0x00000002","host","0xffffffff","USB","35","0000081500000000","URB_INTERRUPT in"
"175","25.370708","1.2.2","0x00000002","host","0xffffffff","USB","35","0000150000000000","URB_INTERRUPT in"
"177","25.444706","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"179","25.685021","1.2.2","0x00000002","host","0xffffffff","USB","35","00002c0000000000","URB_INTERRUPT in"
"181","25.798012","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"183","25.836704","1.2.2","0x00000002","host","0xffffffff","USB","35","0000170000000000","URB_INTERRUPT in"
"185","25.929655","1.2.2","0x00000002","host","0xffffffff","USB","35","0000000000000000","URB_INTERRUPT in"
"187","25.996730","1.2.2","0x00000002","host","0xffffffff","USB","35","00000b0000000000","URB_INTERRUPT in"
