"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"67","3.725799","1.9.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"71","3.917107","1.9.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"75","4.173080","1.9.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"85","4.781304","1.9.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"89","5.077328","1.9.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"93","5.221438","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"97","5.389982","1.9.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"107","5.637092","1.9.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"111","5.901894","1.9.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"115","6.149433","1.9.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"119","6.405186","1.9.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"129","6.654086","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"133","6.877756","1.9.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"137","7.053118","1.9.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"141","7.325502","1.9.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"151","7.477099","1.9.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"155","8.133476","1.9.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"171","9.645716","1.9.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"175","9.973619","1.9.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"179","10.245341","1.9.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"189","10.469778","1.9.1","host","USB","72","00000a0000000000","URB_INTERRUPT in"
"193","10.877342","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"195","11.389326","1.9.1","host","USB","72","02002f0000000000","URB_INTERRUPT in"
"197","11.445446","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"207","12.117101","1.9.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"217","12.949432","1.9.1","host","USB","72","0000240000000000","URB_INTERRUPT in"
"221","13.205332","1.9.1","host","USB","72","0000240000000000","URB_INTERRUPT in"
"231","14.261721","1.9.1","host","USB","72","0000200000000000","URB_INTERRUPT in"
"241","14.509875","1.9.1","host","USB","72","0000200000000000","URB_INTERRUPT in"
