"No.","Time","Source","Destination","Protocol","Length","HID Data","Info"
"25","0.063951","1.2.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"27","3.189946","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"29","3.191934","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"31","3.192933","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"33","3.194935","1.1.1","host","USB","35","00fe0000feff0000","URB_INTERRUPT in"
"35","3.195936","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"37","3.196935","1.1.1","host","USB","35","0000010000000100","URB_INTERRUPT in"
"39","3.197934","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"41","3.198932","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"43","3.199934","1.1.1","host","USB","35","00fe0000feff0000","URB_INTERRUPT in"
"45","3.200934","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"47","3.201934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"49","3.202934","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"51","3.203932","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"53","3.204933","1.1.1","host","USB","35","00ff0000ffff0000","URB_INTERRUPT in"
"55","3.205934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"57","3.206932","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"59","3.207932","1.1.1","host","USB","35","00fe0000feff0000","URB_INTERRUPT in"
"61","3.208933","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"63","3.209933","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"65","3.210934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"67","3.211934","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"69","3.212934","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"71","3.213936","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"73","3.214933","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"75","3.215932","1.1.1","host","USB","35","00fc0000fcff0000","URB_INTERRUPT in"
"77","3.216934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"79","3.217934","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"81","3.218933","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"83","3.219933","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"85","3.220934","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"87","3.221933","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"89","3.222934","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"91","3.223933","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"93","3.224935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"95","3.225933","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"97","3.226934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"99","3.227935","1.1.1","host","USB","35","00fc0000fcff0000","URB_INTERRUPT in"
"101","3.228934","1.1.1","host","USB","35","00fb0200fbff0200","URB_INTERRUPT in"
"103","3.229933","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"105","3.230934","1.1.1","host","USB","35","00fc0000fcff0000","URB_INTERRUPT in"
"107","3.231933","1.1.1","host","USB","35","00f90200f9ff0200","URB_INTERRUPT in"
"109","3.232935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"111","3.233933","1.1.1","host","USB","35","00fa0100faff0100","URB_INTERRUPT in"
"113","3.234934","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"115","3.235933","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"117","3.236932","1.1.1","host","USB","35","00fa0200faff0200","URB_INTERRUPT in"
"119","3.237933","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"121","3.238934","1.1.1","host","USB","35","00f90300f9ff0300","URB_INTERRUPT in"
"123","3.239933","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"125","3.240933","1.1.1","host","USB","35","00f90100f9ff0100","URB_INTERRUPT in"
"127","3.241933","1.1.1","host","USB","35","00fa0200faff0200","URB_INTERRUPT in"
"129","3.242935","1.1.1","host","USB","35","00fe0300feff0300","URB_INTERRUPT in"
"131","3.243935","1.1.1","host","USB","35","00f90200f9ff0200","URB_INTERRUPT in"
"133","3.244936","1.1.1","host","USB","35","00f80100f8ff0100","URB_INTERRUPT in"
"135","3.245935","1.1.1","host","USB","35","00fe0400feff0400","URB_INTERRUPT in"
"137","3.246934","1.1.1","host","USB","35","00f80200f8ff0200","URB_INTERRUPT in"
"139","3.247934","1.1.1","host","USB","35","00f70300f7ff0300","URB_INTERRUPT in"
"141","3.248933","1.1.1","host","USB","35","00ff0400ffff0400","URB_INTERRUPT in"
"143","3.249933","1.1.1","host","USB","35","00f80200f8ff0200","URB_INTERRUPT in"
"145","3.250933","1.1.1","host","USB","35","00f70300f7ff0300","URB_INTERRUPT in"
"147","3.251933","1.1.1","host","USB","35","00fc0400fcff0400","URB_INTERRUPT in"
"149","3.252933","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"151","3.253933","1.1.1","host","USB","35","00fb0300fbff0300","URB_INTERRUPT in"
"153","3.254934","1.1.1","host","USB","35","00f70400f7ff0400","URB_INTERRUPT in"
"155","3.255933","1.1.1","host","USB","35","00fd0400fdff0400","URB_INTERRUPT in"
"157","3.256934","1.1.1","host","USB","35","00f70300f7ff0300","URB_INTERRUPT in"
"159","3.257933","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"161","3.258934","1.1.1","host","USB","35","00fa0300faff0300","URB_INTERRUPT in"
"163","3.259933","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"165","3.260933","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"167","3.261936","1.1.1","host","USB","35","00fb0300fbff0300","URB_INTERRUPT in"
"169","3.262934","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"171","3.263935","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"173","3.264934","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"175","3.265936","1.1.1","host","USB","35","00fa0400faff0400","URB_INTERRUPT in"
"177","3.266936","1.1.1","host","USB","35","00f90600f9ff0600","URB_INTERRUPT in"
"179","3.267933","1.1.1","host","USB","35","00fb0300fbff0300","URB_INTERRUPT in"
"181","3.268933","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"183","3.269933","1.1.1","host","USB","35","00fa0400faff0400","URB_INTERRUPT in"
"185","3.270934","1.1.1","host","USB","35","00fd0400fdff0400","URB_INTERRUPT in"
"187","3.271933","1.1.1","host","USB","35","00f80500f8ff0500","URB_INTERRUPT in"
"189","3.272933","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"191","3.273933","1.1.1","host","USB","35","00f80400f8ff0400","URB_INTERRUPT in"
"193","3.274935","1.1.1","host","USB","35","00fd0500fdff0500","URB_INTERRUPT in"
"195","3.275935","1.1.1","host","USB","35","00fa0600faff0600","URB_INTERRUPT in"
"197","3.276933","1.1.1","host","USB","35","00fa0400faff0400","URB_INTERRUPT in"
"199","3.277947","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"201","3.278962","1.1.1","host","USB","35","00f90400f9ff0400","URB_INTERRUPT in"
"203","3.279937","1.1.1","host","USB","35","00fe0600feff0600","URB_INTERRUPT in"
"205","3.280934","1.1.1","host","USB","35","00f70400f7ff0400","URB_INTERRUPT in"
"207","3.281935","1.1.1","host","USB","35","00f80500f8ff0500","URB_INTERRUPT in"
"209","3.282933","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"211","3.283934","1.1.1","host","USB","35","00fc0500fcff0500","URB_INTERRUPT in"
"213","3.284933","1.1.1","host","USB","35","00f80400f8ff0400","URB_INTERRUPT in"
"215","3.285933","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"217","3.286934","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"219","3.287935","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"221","3.288933","1.1.1","host","USB","35","00f80500f8ff0500","URB_INTERRUPT in"
"223","3.289933","1.1.1","host","USB","35","00fa0400faff0400","URB_INTERRUPT in"
"225","3.290934","1.1.1","host","USB","35","00f90600f9ff0600","URB_INTERRUPT in"
"227","3.291934","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"229","3.292933","1.1.1","host","USB","35","00f70600f7ff0600","URB_INTERRUPT in"
"231","3.293933","1.1.1","host","USB","35","00fc0400fcff0400","URB_INTERRUPT in"
"233","3.294936","1.1.1","host","USB","35","00f60500f6ff0500","URB_INTERRUPT in"
"235","3.295935","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"237","3.296934","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"239","3.297934","1.1.1","host","USB","35","00f80500f8ff0500","URB_INTERRUPT in"
"241","3.298933","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"243","3.299935","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"245","3.300934","1.1.1","host","USB","35","00f70400f7ff0400","URB_INTERRUPT in"
"247","3.301934","1.1.1","host","USB","35","00fa0600faff0600","URB_INTERRUPT in"
"249","3.302934","1.1.1","host","USB","35","00f90400f9ff0400","URB_INTERRUPT in"
"251","3.303933","1.1.1","host","USB","35","00fb0500fbff0500","URB_INTERRUPT in"
"253","3.304933","1.1.1","host","USB","35","00f40400f4ff0400","URB_INTERRUPT in"
"255","3.305935","1.1.1","host","USB","35","00fb0500fbff0500","URB_INTERRUPT in"
"257","3.306933","1.1.1","host","USB","35","00f70400f7ff0400","URB_INTERRUPT in"
"259","3.307935","1.1.1","host","USB","35","00fb0500fbff0500","URB_INTERRUPT in"
"261","3.308934","1.1.1","host","USB","35","00f70400f7ff0400","URB_INTERRUPT in"
"263","3.309933","1.1.1","host","USB","35","00fb0500fbff0500","URB_INTERRUPT in"
"265","3.310935","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"267","3.311934","1.1.1","host","USB","35","00f70500f7ff0500","URB_INTERRUPT in"
"269","3.312935","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"271","3.313935","1.1.1","host","USB","35","00f70400f7ff0400","URB_INTERRUPT in"
"273","3.314934","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"275","3.315935","1.1.1","host","USB","35","00f80500f8ff0500","URB_INTERRUPT in"
"277","3.316934","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"279","3.317933","1.1.1","host","USB","35","00fb0300fbff0300","URB_INTERRUPT in"
"281","3.318934","1.1.1","host","USB","35","00fa0600faff0600","URB_INTERRUPT in"
"283","3.319935","1.1.1","host","USB","35","00f70400f7ff0400","URB_INTERRUPT in"
"285","3.320933","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"287","3.321934","1.1.1","host","USB","35","00f90300f9ff0300","URB_INTERRUPT in"
"289","3.322933","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"291","3.323934","1.1.1","host","USB","35","00f80300f8ff0300","URB_INTERRUPT in"
"293","3.324933","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"295","3.325933","1.1.1","host","USB","35","00fb0500fbff0500","URB_INTERRUPT in"
"297","3.326933","1.1.1","host","USB","35","00f80200f8ff0200","URB_INTERRUPT in"
"299","3.327936","1.1.1","host","USB","35","00f60400f6ff0400","URB_INTERRUPT in"
"301","3.328934","1.1.1","host","USB","35","00fa0600faff0600","URB_INTERRUPT in"
"303","3.329934","1.1.1","host","USB","35","00f50200f5ff0200","URB_INTERRUPT in"
"305","3.330934","1.1.1","host","USB","35","00ff0500ffff0500","URB_INTERRUPT in"
"307","3.331933","1.1.1","host","USB","35","00f80300f8ff0300","URB_INTERRUPT in"
"309","3.332934","1.1.1","host","USB","35","00f80400f8ff0400","URB_INTERRUPT in"
"311","3.333933","1.1.1","host","USB","35","00fc0400fcff0400","URB_INTERRUPT in"
"313","3.334935","1.1.1","host","USB","35","00f50400f5ff0400","URB_INTERRUPT in"
"315","3.335936","1.1.1","host","USB","35","00fb0400fbff0400","URB_INTERRUPT in"
"317","3.336934","1.1.1","host","USB","35","00f80400f8ff0400","URB_INTERRUPT in"
"319","3.337937","1.1.1","host","USB","35","00f90300f9ff0300","URB_INTERRUPT in"
"321","3.338935","1.1.1","host","USB","35","00fc0400fcff0400","URB_INTERRUPT in"
"323","3.339934","1.1.1","host","USB","35","00f40300f4ff0300","URB_INTERRUPT in"
"325","3.340934","1.1.1","host","USB","35","00fd0500fdff0500","URB_INTERRUPT in"
"327","3.341933","1.1.1","host","USB","35","00f80400f8ff0400","URB_INTERRUPT in"
"329","3.342934","1.1.1","host","USB","35","00f80300f8ff0300","URB_INTERRUPT in"
"331","3.343935","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"333","3.344936","1.1.1","host","USB","35","00f60200f6ff0200","URB_INTERRUPT in"
